No    | English            | Vietnamese
198   | angina             | dau that
199   | angiosperm         | thich
200   | angle              | goc
201   | angora             | len
202   | angstrom           | angstrom
203   | anguish            | noi dau don
204   | animal             | dong vat
205   | anime              | hoat
206   | anise              | hoi
207   | ankle              | mat ca chan
208   | anklet             | vong chan
209   | anniversary        | ky niem
210   | announcement       | thong bao
211   | annual             | hang nam
212   | anorak             | thung
213   | answer             | cau tra loi
214   | ant                | kien
215   | anteater           | thu an kien
216   | antecedent         | tien de
217   | antechamber        | tien sanh
218   | antelope           | linh duong
219   | antennae           | rau
220   | anterior           | truoc
221   | anthropology       | nhan loai hoc
222   | antibody           | khang the
223   | anticipation       | du doan
224   | anticodon          | don vi doi ma
225   | antigen            | antigen
226   | antique            | co
227   | antiquity          | thoi co dai
228   | antler             | nhung
229   | antling            | antling
230   | anxiety            | su lo lang
231   | anybody            | bat cu ai
232   | anyone             | bat cu ai
233   | anything           | bat cu dieu gi
234   | anywhere           | bat cu noi nao
235   | apartment          | can ho
236   | ape                | ape
237   | aperitif           | aperitif
238   | apology            | loi xin loi
239   | app                | ung dung
240   | apparatus          | bo may
241   | apparel            | may
242   | appeal             | hap dan
243   | appearance         | su xuat hien
244   | appellation        | ten goi
245   | appendix           | phu luc
246   | appetiser          | mon khai vi
247   | appetite           | ngon mieng
248   | appetizer          | mon khai vi
249   | applause           | vo tay
250   | apple              | tao
251   | applewood          | applewood
252   | appliance          | thiet bi
253   | application        | ung dung
254   | appointment        | cuoc hen
255   | appreciation       | su danh gia cao
256   | apprehension       | e ngai
257   | approach           | cach tiep can
258   | appropriation      | chiem doat
259   | approval           | chap thuan
260   | apricot            | mai
261   | apron              | tap de
262   | apse               | vom
263   | aquarium           | be ca
264   | aquifer            | nuoc ngam
265   | arcade             | thung
266   | arch               | arch
267   | arch-rival         | arch-doi thu
268   | archaeologist      | nha khao co hoc
269   | archaeology        | khao co hoc
270   | archeology         | khao co hoc
271   | archer             | archer
272   | architect          | kien truc su
273   | architecture       | kien truc
274   | archives           | archives
275   | area               | khu vuc
276   | arena              | dau truong
277   | argument           | cuoc tranh cai
278   | arithmetic         | so hoc
279   | ark                | ark
280   | arm                | canh tay
281   | arm-rest           | canh tay con lai
282   | armadillo          | tatu
283   | armament           | vu khi
284   | armchair           | chiec ghe banh
285   | armoire            | tu quan ao
286   | armor              | ao giap
287   | armour             | ao giap
288   | armpit             | nach
289   | armrest            | tay vin
290   | army               | quan doi
291   | arrangement        | sap xep
292   | array              | mang
293   | arrest             | bat giu
294   | arrival            | den
295   | arrogance          | su kieu ngao
296   | arrow              | mui ten
297   | art                | nghe thuat
298   | artery             | dong mach
299   | arthur             | arthur
300   | artichoke          | vu
301   | article            | bai
302   | artifact           | vat
303   | artificer          | tho kheo
304   | artist             | nghe si
305   | ascend             | len
306   | ascent             | di len
307   | ascot              | fun
308   | ash                | ash
309   | ashram             | ashram
310   | ashtray            | cai gat tan
311   | aside              | ben canh
312   | asparagus          | mang tay
313   | aspect             | khia canh
314   | asphalt            | nhua duong
315   | aspic              | lam
316   | ass                | dit
317   | assassination      | vu am sat
318   | assault            | tan cong
319   | assembly           | lap rap
320   | assertion          | khang dinh
321   | assessment         | danh gia
322   | asset              | tai san
323   | assignment         | chuyen nhuong
324   | assist             | ho tro
325   | assistance         | ho tro
326   | assistant          | tro ly
327   | associate          | lien ket
328   | association        | hiep hoi
329   | assumption         | gia dinh
330   | assurance          | dam bao
331   | asterisk           | dau
332   | astrakhan          | astrakhan
333   | astrolabe          | thien
334   | astrologer         | astrologer
335   | astrology          | chiem tinh hoc
336   | astronomy          | thien van hoc
337   | asymmetry          | doi xung
338   | atelier            | xuong
339   | atheist            | vo than
340   | athlete            | van dong vien
341   | athletics          | dien kinh
342   | atmosphere         | bau khong khi
343   | atom               | atom
344   | atrium             | nhi
345   | attachment         | dinh kem
346   | attack             | tan cong
347   | attacker           | tan cong
348   | attainment         | dat duoc
349   | attempt            | no luc
350   | attendance         | tham du
351   | attendant          | tiep vien
352   | attention          | chu y
353   | attenuation        | suy giam
354   | attic              | gac mai
355   | attitude           | thai do
356   | attorney           | luat su
357   | attraction         | hap dan
358   | attribute          | thuoc tinh
359   | auction            | dau gia
360   | audience           | khan gia
361   | audit              | kiem toan
362   | auditorium         | khan
363   | aunt               | co
364   | authentication     | xac thuc
365   | authenticity       | tinh xac thuc
366   | author             | gia
367   | authorisation      | uy quyen
368   | authority          | tham quyen
369   | authorization      | uy quyen
370   | auto               | auto
371   | autoimmunity       | tu mien dich
372   | automation         | tu dong
373   | automaton          | nguoi may
374   | autumn             | mua thu
375   | availability       | san sang
376   | avalanche          | tran tuyet lo
377   | avenue             | avenue
378   | average            | trung binh
379   | avocado            | bo
380   | award              | giai thuong
381   | awareness          | nhan thuc
382   | awe                | so hai
383   | axis               | truc
384   | azimuth            | phuong vi
385   | babe               | co be
386   | baboon             | khi dau cho
387   | babushka           | bac, do
388   | baby               | baby
389   | bachelor           | cu nhan
390   | back               | tro lai
391   | back-up            | tro len
392   | backbone           | xuong song
393   | backburn           | backburn
394   | backdrop           | boi canh
395   | background         | nen
396   | backpack           | ba lo
397   | backup             | sao luu
398   | backyard           | san sau
399   | bacon              | thit xong khoi
400   | bacterium          | vi khuan
401   | badge              | huy hieu
402   | badger             | badger
403   | bafflement         | bat ngo
404   | bag                | tui
405   | bagel              | banh mi
406   | baggage            | hanh ly
407   | baggie             | tui
408   | baggy              | rong
409   | bagpipe            | ken
410   | bail               | bao lanh
411   | bait               | moi
412   | bake               | nuong
413   | baker              | baker
414   | bakery             | banh mi
415   | bakeware           | nau nuong
416   | balaclava          | na
417   | balalaika          | balalaika
418   | balance            | can can
419   | balcony            | ban cong
420   | ball               | bong
421   | ballet             | ballet
422   | balloon            | bong
423   | balloonist         | coi khi cau
424   | ballot             | la phieu
425   | ballpark           | san bong chay
426   | bamboo             | tre
427   | ban                | cam
428   | banana             | chuoi
429   | band               | ban nhac
430   | bandana            | cai khan
431   | bandanna           | chiec khan
432   | bandolier          | day
433   | bandwidth          | bang thong
434   | bangle             | vong
435   | banjo              | bass
436   | bank               | ngan hang
437   | bankbook           | cuon so tiet kiem
438   | banker             | ngan hang
439   | banking            | ngan hang
440   | bankruptcy         | pha san
441   | banner             | banner
442   | banquette          | an tiec
443   | banyan             | da
444   | baobab             | phi
445   | bar                | quay bar
446   | barbecue           | thit nuong
447   | barbeque           | nuong
448   | barber             | barber
449   | barbiturate        | barbiturate
450   | bargain            | mon hoi
451   | barge              | barge
452   | baritone           | tram
453   | barium             | barium
454   | bark               | vo cay
455   | barley             | lua mach
456   | barn               | chuong
457   | barometer          | phong vu bieu
458   | barracks           | doanh trai
459   | barrage            | dap
460   | barrel             | thung
461   | barrier            | hang rao
462   | barstool           | trung
463   | bartender          | bartender
464   | base               | co so
465   | baseball           | bong chay
466   | baseboard          | van
467   | baseline           | co so
468   | basement           | tang ham
469   | basics             | khai niem co ban
470   | basil              | basil
471   | basin              | basin
472   | basis              | so
473   | basket             | gio
474   | basketball         | bong ro
475   | bass               | bass
476   | bassinet           | noi
477   | bassoon            | dan nhac
478   | bat                | bat
479   | bath               | bon tam
480   | bather             | tam
481   | bathhouse          | nha tam
482   | bathrobe           | ao choang tam
483   | bathroom           | phong tam
484   | bathtub            | bon tam
485   | battalion          | tieu doan
486   | batter             | bot
487   | battery            | pin
488   | batting            | danh bong
489   | battle             | tran chien
490   | battleship         | chien ham
491   | bay                | bay
492   | bayou              | bayou
493   | beach              | tren bai bien,
494   | bead               | bead
495   | beak               | mo
496   | beam               | chum
497   | bean               | bean
498   | beancurd           | dau hu
499   | beanie             | mu len
500   | beanstalk          | dau
501   | bear               | gau
502   | beard              | rau
503   | beast              | beast
504   | beastie            | beastie
505   | beat               | danh bai
506   | beating            | dap
507   | beauty             | ve dep
508   | beaver             | beaver
509   | beck               | beck
510   | bed                | giuong
511   | bedrock            | nen tang
512   | bedroom            | phong ngu
513   | bee                | bee
514   | beech              | beech
515   | beef               | thit bo
516   | beer               | bia
517   | beet               | cu cai
518   | beetle             | bo
519   | beggar             | ke an xin
520   | beginner           | moi bat dau
521   | beginning          | dau
522   | begonia            | cay
523   | behalf             | thay mat
524   | behavior           | hanh vi
525   | behaviour          | hanh vi
526   | beheading          | chat dau
527   | behest             | theo lenh
528   | behold             | kia
529   | being              | duoc
530   | belfry             | thap chuong
531   | belief             | niem tin
532   | believer           | believer
533   | bell               | bell
534   | belligerency       | belligerency
535   | bellows            | bellows
536   | belly              | bung
537   | belt               | vanh dai
538   | bench              | bang ghe
539   | bend               | uon cong
540   | beneficiary        | nguoi thu huong
541   | benefit            | loi ich
542   | beret              | beret
543   | berry              | berry
544   | best-seller        | ban chay nhat
545   | bestseller         | ban chay nhat
546   | bet                | dat cuoc
547   | beverage           | do uong
548   | beyond             | ngoai
549   | bias               | thien vi
550   | bibliography       | tai lieu tham khao
551   | bicycle            | xe dap
552   | bid                | thau
553   | bidder             | thau
554   | bidding            | dau thau
555   | bidet              | bon
556   | bifocals           | hai trong
557   | bijou              | nguoi phu
558   | bike               | xe dap
559   | bikini             | bikini
560   | bill               | bill
561   | billboard          | bang quang cao
562   | billing            | thanh toan
563   | billion            | ty
564   | bin                | bin
565   | binoculars         | ong nhom
566   | biology            | sinh hoc
567   | biopsy             | sinh thiet
568   | biosphere          | sinh quyen
569   | biplane            | hai tang canh
570   | birch              | bach duong
571   | bird               | con chim
572   | bird-watcher       | bird-watcher
573   | birdbath           | cai bon tam chim
574   | birdcage           | thu
575   | birdhouse          | long chim
576   | birth              | sinh
577   | birthday           | sinh nhat
578   | biscuit            | banh quy
579   | bit                | chut
580   | bite               | can
581   | bitten             | can
582   | bitter             | cay dang
583   | black              | black
584   | blackberry         | blackberry
585   | blackbird          | blackbird
586   | blackboard         | bang
587   | blackfish          | ca
588   | blackness          | bong toi
589   | bladder            | bang quang
590   | blade              | blade
591   | blame              | do loi
592   | blank              | trong
593   | blanket            | chan
594   | blast              | vu no
595   | blazer             | blazer
596   | blend              | pha tron
597   | blessing           | phuoc lanh
598   | blight             | anh huong xau
599   | blind              | mu
600   | blinker            | den nhay
601   | blister            | vi
602   | blizzard           | bao tuyet
603   | block              | khoi
604   | blocker            | chan
605   | blog               | blog
606   | blogger            | blogger
607   | blood              | mau
608   | bloodflow          | bloodflow
609   | bloom              | bloom
610   | bloomer            | sai lam lon
611   | blossom            | blossom
612   | blouse             | ao
613   | blow               | thoi
614   | blowgun            | ong thoi
615   | blowhole           | lo phun nuoc
616   | blue               | mau xanh
617   | blueberry          | viet quat
618   | blush              | blush
619   | boar               | heo rung
620   | board              | hoi dong quan tri
621   | boat               | thuyen
622   | boatload           | chiec tau day
623   | boatyard           | xuong thuyen
624   | bob                | bob
625   | bobcat             | linh mieu
626   | body               | co the
627   | bog                | dam lay
628   | bolero             | bolero
629   | bolt               | bolt
630   | bomb               | qua bom
631   | bomber             | may bay nem bom
632   | bombing            | vu danh bom
633   | bond               | bond
634   | bonding            | lien ket
635   | bondsman           | nguoi day to
636   | bone               | xuong
637   | bonfire            | lua trai
638   | bongo              | bongo
639   | bonnet             | nap ca-po
640   | bonsai             | bonsai
641   | bonus              | tien thuong
642   | boogeyman          | ong ke
643   | book               | cuon sach
644   | bookcase           | ke sach
645   | bookend            | ban chuoi
646   | booking            | dat
647   | booklet            | cuon sach
648   | bookmark           | danh dau
649   | boolean            | logic
650   | boom               | boom
651   | boon               | loi ich
652   | boost              | tang
653   | booster            | booster
654   | boot               | khoi dong
655   | bootee             | bootee
656   | bootie             | dong tinh
657   | booty              | chien loi pham
658   | border             | bien gioi
659   | bore               | khoan
660   | borrower           | vay
661   | borrowing          | vay
662   | bosom              | long
663   | boss               | ong chu
664   | botany             | thuc vat hoc
665   | bother             | lam phien
666   | bottle             | chai
667   | bottling           | rot
668   | bottom             | duoi
669   | bottom-line        | duoi dong
670   | boudoir            | boudoir
671   | bough              | canh cay
672   | boulder            | boulder
673   | boulevard          | boulevard
674   | boundary           | ranh gioi
675   | bouquet            | bo hoa
676   | bourgeoisie        | giai cap tu san
677   | bout               | con
678   | boutique           | cua hang
679   | bow                | bow
680   | bower              | bower
681   | bowl               | bat
682   | bowler             | qua dua
683   | bowling            | bowling
684   | bowtie             | no
685   | box                | hop
686   | boxer              | vo si quyen anh
687   | boxspring          | cui
688   | boy                | cau be
689   | boycott            | tay chay
690   | boyfriend          | ban trai
691   | boyhood            | thoi tho au
692   | boysenberry        | boysenberry
693   | bra                | ao nguc
694   | brace              | nep
695   | bracelet           | vong tay
696   | bracket            | khung
697   | brain              | nao
698   | brake              | phanh
699   | bran               | cam
700   | branch             | chi nhanh
701   | brand              | thuong hieu
702   | brandy             | brandy
703   | brass              | dong thau
704   | brassiere          | yem
705   | bratwurst          | mon xuc xich
706   | bread              | banh mi
707   | breadcrumb         | mau banh mi
708   | breadfruit         | xa ke
709   | break              | pha vo
710   | breakdown          | su co
711   | breakfast          | bua sang
712   | breakpoint         | diem ngat
713   | breakthrough       | buoc dot pha
714   | breast             | vu
715   | breastplate        | ao giap
716   | breath             | hoi tho
717   | breeze             | gio
718   | brewer             | brewer
719   | bribery            | hoi lo
720   | brick              | brick
721   | bricklaying        | lat gach
722   | bride              | co dau
723   | bridge             | cau
724   | brief              | ngan gon
725   | briefing           | cuoc hop bao
726   | briefly            | mot thoi gian ngan
727   | briefs             | tom tat
728   | brilliant          | ruc ro
729   | brink              | bo vuc
730   | brisket            | uc
731   | broad              | rong
732   | broadcast          | phat song
733   | broccoli           | bong cai xanh
734   | brochure           | tai lieu
735   | brocolli           | sup
736   | broiler            | xuc xich
737   | broker             | nha moi gioi
738   | bronchitis         | viem phoi
739   | bronco             | bronco
740   | bronze             | dong
741   | brooch             | tram
742   | brood              | bo me
743   | brook              | brook
744   | broom              | cay choi
745   | brother            | anh trai
746   | brother-in-law     | em re
747   | brow               | tran
748   | brown              | brown
749   | brownie            | brownie
750   | browser            | duyet
751   | browsing           | duyet
752   | brunch             | muon cuoi tuan
753   | brush              | ban chai
754   | brushfire          | brushfire
755   | brushing           | danh rang
756   | bubble             | bong bong
757   | buck               | buck
758   | bucket             | xo
759   | buckle             | khoa
760   | buckwheat          | kieu
761   | bud                | bud
762   | buddy              | buddy
763   | budget             | ngan sach
764   | buffalo            | buffalo
765   | buffer             | dem
766   | buffet             | buffet
767   | bug                | loi
768   | buggy              | loi
769   | bugle              | bugle
770   | builder            | xay dung
771   | building           | toa nha
772   | bulb               | bong den
773   | bulk               | so luong lon,
774   | bull               | bull
775   | bull-fighter       | bull-may bay chien dau
776   | bulldozer          | xe ui
777   | bullet             | dan
778   | bump               | bump
779   | bumper             | bumper
780   | bun                | bui
781   | bunch              | bo
782   | bungalow           | bungalow
783   | bunghole           | thu dam
784   | bunkhouse          | ve leu
785   | burden             | ganh nang
786   | bureau             | cuc
787   | burglar            | ten trom
788   | burial             | chon cat
789   | burlesque          | burlesque
790   | burn               | dot chay
791   | burn-out           | ghi ra
792   | burning            | dot chay
793   | burrito            | burrito
794   | burro              | con lua
795   | burrow             | hang
796   | burst              | no
797   | bus                | xe buyt
798   | bush               | bui
799   | business           | kinh doanh
800   | businessman        | doanh nhan
801   | bust               | bust
802   | bustle             | nhon nhip
803   | butane             | ngon
804   | butcher            | thit
805   | butler             | butler
806   | butter             | bo
807   | butterfly          | buom
808   | button             | nut
809   | buy                | mua
810   | buyer              | mua
811   | buying             | mua
812   | buzz               | buzz
813   | buzzard            | chim o
814   | c-clamp            | c-kep
815   | cabana             | cabana
816   | cabbage            | bap cai
817   | cabin              | cabin
818   | cabinet            | noi cac
819   | cable              | cap
820   | caboose            | bep o tren tau
821   | cacao              | cacao
822   | cactus             | xuong rong
823   | caddy              | caddy
824   | cadet              | thieu sinh quan
825   | cafe               | cafe
826   | caffeine           | caffeine
827   | caftan             | ladies
828   | cage               | cage
829   | cake               | banh
830   | calcification      | voi hoa
831   | calculation        | tinh toan
832   | calculator         | may tinh
833   | calculus           | tinh toan
834   | calendar           | lich
835   | calf               | calf
836   | caliber            | caliber
837   | calibre            | tam co
838   | calico             | vai trang
839   | call               | goi
840   | calm               | binh tinh
841   | calorie            | calo
842   | camel              | lac da
843   | cameo              | khach moi
844   | camera             | camera
845   | camp               | camp
846   | campaign           | chien dich
847   | campaigning        | van dong
848   | campanile          | chuong
849   | camper             | cam trai
850   | campus             | truong
851   | can                | co the
852   | canal              | kenh
853   | cancer             | ung thu
854   | candelabra         | candle
855   | candidacy          | ung cu
856   | candidate          | ung cu vien
857   | candle             | nen
858   | candy              | keo
859   | cane               | mia
860   | cannibal           | cannibal
861   | cannon             | phao
862   | canoe              | xuong
863   | canon              | canon
864   | canopy             | tan
865   | cantaloupe         | dua vang
866   | canteen            | canteen
867   | canvas             | vai
868   | cap                | cap
869   | capability         | kha nang
870   | capacity           | cong suat
871   | cape               | cape
872   | caper              | bach hoa
873   | capital            | von
874   | capitalism         | chu nghia tu ban
875   | capitulation       | dau hang
876   | capon              | ga trong thien
877   | cappelletti        | cappelletti
878   | cappuccino         | cappuccino
879   | captain            | thuyen truong
880   | caption            | chu thich
881   | captor             | bat coc
882   | car                | xe
883   | carabao            | bo
884   | caramel            | caramel
885   | caravan            | doan
886   | carbohydrate       | carbohydrate
887   | carbon             | carbon
888   | carboxyl           | boi
889   | card               | the
890   | cardboard          | tong
891   | cardigan           | cardigan
892   | care               | cham soc
893   | career             | nghe nghiep
894   | cargo              | van chuyen hang hoa
895   | caribou            | tuan loc
896   | carload            | toa xe
897   | carnation          | cam chuong
898   | carnival           | carnival
899   | carol              | carol
900   | carotene           | vo
901   | carp               | ca chep
902   | carpenter          | tho moc
903   | carpet             | tham
904   | carpeting          | tham
905   | carport            | bai dau xe
906   | carriage           | van
907   | carrier            | hang
908   | carrot             | rot
909   | carry              | thuc hien
910   | cart               | gio hang
911   | cartel             | cartel
912   | carter             | carter
913   | cartilage          | sun
914   | cartload           | cartload
915   | cartoon            | phim hoat hinh
916   | cartridge          | muc
917   | carving            | khac
918   | cascade            | thac
919   | case               | truong hop
920   | casement           | cua
921   | cash               | tien mat
922   | cashew             | dieu
923   | cashier            | ngan
924   | casino             | song bac
925   | casket             | quan tai
926   | cassava            | san
927   | casserole          | soong
928   | cassock            | tam ao
929   | cast               | cast
930   | castanet           | castanet
931   | castle             | lau dai
932   | casualty           | tai nan
933   | cat                | cat
934   | catacomb           | ham
935   | catalogue          | catalogue
936   | catalysis          | xuc tac
937   | catalyst           | chat xuc tac
938   | catamaran          | ngay
939   | catastrophe        | tham hoa
940   | catch              | bat
941   | catcher            | bat
942   | category           | muc
943   | caterpillar        | con sau buom
944   | cathedral          | nha tho
945   | cation             | ion
946   | catsup             | nuoc sot
947   | cattle             | gia suc
948   | cauliflower        | sup lo
949   | causal             | nhan qua
950   | cause              | nguyen nhan gay ra
951   | causeway           | causeway
952   | caution            | than trong
953   | cave               | hang dong
954   | caviar             | caviar
955   | cayenne            | cayenne
956   | ceiling            | tran
957   | celebration        | le ky niem
958   | celebrity          | danh tieng
959   | celeriac           | cu
960   | celery             | can tay
961   | cell               | te bao
962   | cellar             | ham
963   | cello              | cello
964   | celsius            | c
965   | cement             | xi mang
966   | cemetery           | nghia trang
967   | cenotaph           | bia tuong niem
968   | census             | dieu tra
969   | cent               | cent
970   | center             | trung tam
971   | centimeter         | cm
972   | centre             | trung tam
973   | centurion          | thay
974   | century            | the ky
975   | cephalopod         | bach tuoc chu
976   | ceramic            | gom
977   | ceramics           | do gom
978   | cereal             | ngu coc
979   | ceremony           | le
980   | certainty          | chac chan
981   | certificate        | giay chung nhan
982   | certification      | chung nhan
983   | cesspool           | noi o ue
984   | chafe              | noi gian
985   | chain              | chuoi
986   | chainstay          | chainstay
987   | chair              | ghe
988   | chairlift          | cap treo
989   | chairman           | chu tich
990   | chairperson        | chu tich
991   | chaise             | ghe
992   | chalet             | toa
993   | chalice            | chen thanh
994   | chalk              | phan
995   | challenge          | thach thuc
996   | chamber            | buong
997   | champagne          | champagne
998   | champion           | nha vo dich
999   | championship       | vo dich
1000  | chance             | co hoi
1001  | chandelier         | den chum
1002  | change             | thay doi
1003  | channel            | kenh
1004  | chaos              | chaos
1005  | chap               | chap
1006  | chapel             | nha nguyen
1007  | chaplain           | uy
1008  | chapter            | chuong
1009  | character          | nhan vat
1010  | characteristic     | dac trung
1011  | characterization   | dac
1012  | chard              | cu cai
1013  | charge             | phi
1014  | charger            | sac
1015  | charity            | to chuc tu thien
1016  | charlatan          | lang bam
1017  | charm              | quyen ru
1018  | charset            | ky tu
1019  | chart              | bieu do
1020  | charter            | dieu le
1021  | chasm              | vuc tham
1022  | chassis            | khung gam
1023  | chastity           | chastity
1024  | chasuble           | chasuble
1025  | chateau            | chateau
1026  | chatter            | noi nham
1027  | chauffeur          | tai xe
1028  | chauvinist         | so-vanh
1029  | check              | kiem tra
1030  | checkbook          | sec
1031  | checking           | kiem tra
1032  | checkout           | thanh toan
1033  | checkroom          | phong gui quan ao
1034  | cheddar            | cheddar
1035  | cheek              | ma
1036  | cheer              | cheer
1037  | cheese             | pho mai
1038  | cheesecake         | banh pho mat
1039  | cheetah            | cheetah
1040  | chef               | dau bep
1041  | chem               | hoa
1042  | chemical           | hoa hoc
1043  | chemistry          | hoa hoc
1044  | chemotaxis         | hoa huong
1045  | cheque             | sec
1046  | cherry             | cherry
1047  | chess              | chess
1048  | chest              | nguc
1049  | chestnut           | hat de
1050  | chick              | ga
1051  | chicken            | ga
1052  | chicory            | chicory
1053  | chief              | chief
1054  | chiffonier         | tu nho nhieu ngan
1055  | child              | con
1056  | childbirth         | sinh con
1057  | childhood          | thoi tho au
1058  | chili              | ot
1059  | chill              | chill
1060  | chime              | tieng chuong
1061  | chimpanzee         | tinh tinh
1062  | chin               | cam
1063  | chinchilla         | soc
1064  | chino              | chino
1065  | chip               | chip
1066  | chipmunk           | soc chuot
1067  | chit-chat          | chit-chat
1068  | chivalry           | hiep si
1069  | chive              | la & sot
1070  | chives             | chives
1071  | chocolate          | so co la
1072  | choice             | su lua chon
1073  | choir              | dan hop xuong
1074  | choker             | choker
1075  | cholesterol        | cholesterol
1076  | choosing           | lua chon
1077  | chop               | chop
1078  | chops              | suon
1079  | chopstick          | dua
1080  | chopsticks         | dua
1081  | chord              | am
1082  | chorus             | diep khuc
1083  | chow               | chow
1084  | chowder            | mon
1085  | chrome             | crom
1086  | chromolithograph   | chromolithograph
1087  | chronicle          | chronicle
1088  | chronograph        | chronograph
